timestamp,temperature,pressure,humidity,altitude,uv
0, 16.59, 0.93, 62, 694.71, 1.08
16, 16.59, 0.93, 62, 694.71, 1.08
27, 16.59, 0.93, 62, 694.71, 1.08
69, 16.59, 0.93, 62, 694.53, 1.08
110, 16.59, 0.93, 62, 694.53, 1.08
153, 16.59, 0.93, 62, 694.53, 1.08
196, 16.59, 0.93, 62, 694.26, 1.08
238, 16.59, 0.93, 62, 694.26, 1.08
281, 16.59, 0.93, 62, 694.53, 1.08
323, 16.59, 0.93, 62, 694.53, 1.08
366, 16.59, 0.93, 62, 694.53, 1.08
409, 16.59, 0.93, 62, 694.53, 1.08
451, 16.59, 0.93, 62, 694.53, 1.08
494, 16.60, 0.93, 62, 694.35, 0.93
537, 16.60, 0.93, 62, 694.35, 1.08
579, 16.60, 0.93, 62, 694.35, 1.03
622, 16.60, 0.93, 62, 694.35, 1.08
665, 16.60, 0.93, 62, 694.35, 1.08
707, 16.60, 0.93, 62, 694.35, 1.08
750, 16.60, 0.93, 62, 694.62, 1.08
793, 16.60, 0.93, 62, 694.62, 1.08
835, 16.60, 0.93, 62, 694.62, 1.08
878, 16.60, 0.93, 62, 694.80, 1.08
920, 16.60, 0.93, 62, 694.80, 1.08
963, 16.61, 0.93, 62, 694.53, 1.08
1006, 16.61, 0.93, 62, 694.53, 1.08
1049, 16.60, 0.93, 62, 694.89, 1.08
1093, 16.60, 0.93, 62, 694.89, 1.08
1137, 16.60, 0.93, 62, 694.62, 1.08
1180, 16.60, 0.93, 62, 694.62, 1.08
1224, 16.61, 0.93, 62, 694.53, 1.08
1268, 16.61, 0.93, 62, 694.53, 1.08
1311, 16.61, 0.93, 62, 694.53, 1.08
1355, 16.61, 0.93, 62, 694.35, 1.08
1399, 16.61, 0.93, 62, 694.35, 1.08
1442, 16.61, 0.93, 62, 694.17, 1.08
1486, 16.61, 0.93, 62, 694.17, 1.08
1531, 16.61, 0.93, 62, 694.53, 1.08
1574, 16.61, 0.93, 62, 694.53, 1.08
1618, 16.62, 0.93, 62, 694.53, 1.08
1662, 16.62, 0.93, 62, 694.53, 1.08
1705, 16.62, 0.93, 62, 694.53, 1.08
1749, 16.62, 0.93, 62, 694.53, 1.08
1793, 16.62, 0.93, 62, 694.53, 1.08
1836, 16.62, 0.93, 62, 694.62, 1.08
1880, 16.62, 0.93, 62, 694.62, 1.08
1924, 16.63, 0.93, 62, 694.26, 1.08
1967, 16.63, 0.93, 62, 694.26, 1.08
2011, 16.62, 0.93, 62, 694.44, 1.08
2054, 16.62, 0.93, 62, 694.44, 1.08
2098, 16.62, 0.93, 62, 694.53, 1.08
2142, 16.62, 0.93, 62, 694.53, 1.08
2185, 16.62, 0.93, 62, 694.62, 1.08
2229, 16.62, 0.93, 62, 694.62, 1.08
2273, 16.62, 0.93, 62, 694.62, 1.08
2316, 16.63, 0.93, 62, 694.35, 1.08
2360, 16.63, 0.93, 62, 694.35, 1.08
2404, 16.63, 0.93, 62, 694.44, 1.08
2447, 16.63, 0.93, 62, 694.44, 1.08
2491, 16.63, 0.93, 62, 694.80, 1.08
2535, 16.63, 0.93, 62, 694.80, 1.08
2578, 16.63, 0.93, 62, 694.62, 1.08
2622, 16.63, 0.93, 62, 694.62, 1.08
2666, 16.63, 0.93, 62, 694.62, 1.08
2709, 16.63, 0.93, 62, 694.62, 1.08
2753, 16.63, 0.93, 62, 694.62, 1.08
2797, 16.64, 0.93, 62, 694.44, 1.08
2840, 16.64, 0.93, 62, 694.44, 1.08
2884, 16.65, 0.93, 62, 694.53, 1.08
2928, 16.65, 0.93, 62, 694.53, 1.08
2971, 16.63, 0.93, 62, 694.62, 1.08
3015, 16.63, 0.93, 62, 694.62, 1.08
3059, 16.65, 0.93, 62, 694.53, 1.08
3102, 16.65, 0.93, 62, 694.53, 1.08
3146, 16.65, 0.93, 62, 694.35, 1.08
3190, 16.65, 0.93, 62, 694.35, 1.08
3233, 16.65, 0.93, 62, 694.35, 1.08
3277, 16.64, 0.93, 62, 694.62, 1.08
3321, 16.64, 0.93, 62, 694.62, 1.08
3365, 16.66, 0.93, 62, 694.44, 1.08
3409, 16.66, 0.93, 62, 694.44, 1.08
3452, 16.65, 0.93, 62, 694.35, 1.08
3496, 16.65, 0.93, 62, 694.35, 1.08
3540, 16.66, 0.93, 62, 694.35, 1.08
3583, 16.66, 0.93, 62, 694.35, 1.08
3627, 16.66, 0.93, 62, 694.35, 1.08
3671, 16.66, 0.93, 62, 694.35, 1.08
3714, 16.66, 0.93, 62, 694.35, 1.08
3758, 16.66, 0.93, 62, 694.53, 1.08
3802, 16.66, 0.93, 62, 694.53, 1.08
3845, 16.67, 0.93, 62, 694.35, 1.08
3889, 16.67, 0.93, 62, 694.35, 1.08
3933, 16.66, 0.93, 62, 694.26, 1.08
3976, 16.66, 0.93, 62, 694.26, 1.08
4020, 16.66, 0.93, 62, 694.53, 1.08
4064, 16.66, 0.93, 62, 694.53, 1.08
4107, 16.66, 0.93, 62, 694.35, 1.08
4151, 16.67, 0.93, 62, 694.35, 1.08
4195, 16.67, 0.93, 62, 694.35, 1.08
4238, 16.68, 0.93, 62, 694.53, 1.08
4282, 16.68, 0.93, 62, 694.53, 1.08
4326, 16.68, 0.93, 62, 694.35, 1.08
4369, 16.68, 0.93, 62, 694.35, 1.08
4413, 16.67, 0.93, 63, 694.71, 1.08
4457, 16.67, 0.93, 63, 694.71, 1.08
4500, 16.68, 0.93, 63, 694.53, 1.08
4544, 16.68, 0.93, 63, 694.53, 1.08
4588, 16.68, 0.93, 63, 694.80, 1.08
4631, 16.68, 0.93, 63, 694.80, 1.08
4675, 16.68, 0.93, 63, 694.80, 1.08
4719, 16.69, 0.93, 63, 694.71, 1.03
4762, 16.69, 0.93, 63, 694.71, 1.08
4806, 16.69, 0.93, 63, 694.53, 1.08
4849, 16.69, 0.93, 63, 694.53, 1.08
4893, 16.69, 0.93, 63, 694.89, 1.08
4937, 16.69, 0.93, 63, 694.89, 1.08
4980, 16.69, 0.93, 63, 694.44, 1.08
5024, 16.69, 0.93, 63, 694.44, 1.08
5068, 16.69, 0.93, 63, 694.44, 1.08
5111, 16.69, 0.93, 63, 694.44, 1.08
5155, 16.69, 0.93, 63, 694.44, 1.08
5218, 16.70, 0.93, 63, 694.35, 1.08
5243, 16.70, 0.93, 63, 694.35, 1.08
5287, 16.70, 0.93, 63, 694.44, 1.08
5331, 16.70, 0.93, 63, 694.44, 1.08
5374, 16.69, 0.93, 63, 694.44, 1.08
5418, 16.69, 0.93, 63, 694.44, 1.08
5462, 16.69, 0.93, 63, 694.53, 1.08
5505, 16.69, 0.93, 63, 694.53, 1.08
5549, 16.69, 0.93, 63, 694.53, 1.08
5593, 16.69, 0.93, 63, 694.44, 1.08
5636, 16.69, 0.93, 63, 694.44, 1.08
5680, 16.70, 0.93, 63, 694.26, 1.08
5724, 16.70, 0.93, 63, 694.26, 1.08
5767, 16.71, 0.93, 63, 694.35, 1.08
5811, 16.71, 0.93, 63, 694.35, 1.08
5855, 16.70, 0.93, 63, 694.53, 1.08
5898, 16.70, 0.93, 63, 694.53, 1.08
5942, 16.70, 0.93, 63, 694.44, 1.08
5986, 16.70, 0.93, 63, 694.44, 1.08
6029, 16.70, 0.93, 63, 694.44, 1.08
6073, 16.70, 0.93, 63, 694.44, 1.08
6117, 16.70, 0.93, 63, 694.44, 1.08
6160, 16.71, 0.93, 63, 694.44, 1.08
6204, 16.71, 0.93, 63, 694.44, 1.08
6247, 16.71, 0.93, 63, 694.53, 1.08
6291, 16.71, 0.93, 63, 694.53, 1.08
6335, 16.70, 0.93, 63, 694.80, 1.08
6378, 16.70, 0.93, 63, 694.80, 1.08
6422, 16.70, 0.93, 63, 694.53, 1.08
6466, 16.70, 0.93, 63, 694.53, 1.08
6509, 16.70, 0.93, 63, 694.53, 1.08
6553, 16.70, 0.93, 63, 694.44, 1.08
6597, 16.70, 0.93, 63, 694.44, 1.08
6640, 16.71, 0.93, 63, 694.44, 1.08
6684, 16.71, 0.93, 63, 694.44, 1.08
