timestamp,temperature,pressure,humidity,altitude,uv
0, 20.60, 0.93, 43, 690.79, 1.52
190, 20.61, 0.93, 43, 690.70, 1.52
203, 20.61, 0.93, 43, 690.70, 1.52
245, 20.61, 0.93, 43, 690.70, 1.52
288, 20.60, 0.93, 43, 691.06, 1.52
331, 20.60, 0.93, 43, 691.06, 1.52
373, 20.62, 0.93, 43, 690.97, 1.52
416, 20.62, 0.93, 43, 690.97, 1.52
459, 20.62, 0.93, 43, 690.97, 1.52
501, 20.62, 0.93, 43, 690.79, 1.52
544, 20.62, 0.93, 43, 690.79, 1.52
586, 20.62, 0.93, 43, 690.88, 1.52
629, 20.62, 0.93, 43, 690.88, 1.52
672, 20.62, 0.93, 43, 690.88, 1.52
714, 20.62, 0.93, 43, 690.88, 1.52
757, 20.62, 0.93, 43, 690.88, 1.52
800, 20.61, 0.93, 43, 691.06, 1.52
842, 20.61, 0.93, 43, 691.06, 1.52
885, 20.62, 0.93, 43, 690.88, 1.52
928, 20.62, 0.93, 43, 690.88, 1.52
970, 20.61, 0.93, 43, 690.88, 1.52
1013, 20.61, 0.93, 43, 690.88, 1.52
1057, 20.61, 0.93, 43, 690.79, 1.52
1101, 20.61, 0.93, 43, 690.79, 1.52
1145, 20.61, 0.93, 43, 690.79, 1.52
1188, 20.62, 0.93, 43, 690.79, 1.52
1232, 20.62, 0.93, 43, 690.79, 1.52
1276, 20.62, 0.93, 43, 690.88, 1.52
1319, 20.62, 0.93, 43, 690.88, 1.52
1363, 20.63, 0.93, 43, 690.88, 1.52
1407, 20.63, 0.93, 43, 690.88, 1.52
1450, 20.63, 0.93, 43, 690.97, 1.52
1494, 20.63, 0.93, 43, 690.97, 1.52
1538, 20.63, 0.93, 43, 690.97, 1.47
1581, 20.63, 0.93, 43, 690.97, 1.52
1625, 20.63, 0.93, 43, 690.97, 1.52
1669, 20.63, 0.93, 43, 690.97, 1.52
1712, 20.63, 0.93, 43, 690.97, 1.52
1756, 20.64, 0.93, 43, 690.97, 1.52
1800, 20.64, 0.93, 43, 690.97, 1.52
1843, 20.64, 0.93, 43, 690.88, 1.52
1887, 20.64, 0.93, 43, 690.88, 1.52
1931, 20.64, 0.93, 43, 690.97, 1.52
1974, 20.64, 0.93, 43, 690.97, 1.52
2018, 20.64, 0.93, 43, 690.88, 1.52
2062, 20.64, 0.93, 43, 690.88, 1.47
2105, 20.64, 0.93, 43, 690.88, 1.52
2149, 20.64, 0.93, 43, 690.70, 1.52
2193, 20.64, 0.93, 43, 690.70, 1.47
2236, 20.65, 0.93, 43, 690.70, 1.47
2297, 20.65, 0.93, 43, 690.70, 1.52
2324, 20.65, 0.93, 43, 691.06, 1.47
2367, 20.65, 0.93, 43, 691.06, 1.47
2411, 20.65, 0.93, 43, 691.15, 1.47
2455, 20.65, 0.93, 43, 691.15, 1.47
2498, 20.65, 0.93, 43, 690.97, 1.47
2542, 20.65, 0.93, 43, 690.97, 1.52
