timestamp,temperature,pressure,humidity,altitude,uv
0, 26.64, 96922, 47, 373.14, 1.81
35, 26.64, 96922, 47, 373.14, 1.81
46, 26.64, 96922, 47, 373.14, 1.81
55, 26.64, 96922, 47, 373.14, 1.81
63, 26.64, 96922, 47, 373.14, 1.81
71, 26.64, 96922, 47, 373.14, 1.81
80, 26.64, 96922, 47, 373.14, 1.81
88, 26.64, 96922, 47, 373.14, 1.81
96, 26.64, 96922, 47, 373.14, 1.81
106, 26.64, 96922, 47, 373.14, 1.81
114, 26.64, 96922, 47, 373.14, 1.81
122, 26.64, 96922, 47, 373.14, 1.81
131, 26.64, 96922, 47, 373.14, 1.81
145, 26.64, 96922, 47, 373.14, 1.81
153, 26.64, 96922, 47, 373.14, 1.81
161, 26.64, 96922, 47, 373.14, 1.81
170, 26.64, 96916, 47, 373.66, 1.81
178, 26.60, 96916, 47, 373.66, 1.81
187, 26.60, 96916, 47, 373.66, 1.81
196, 26.60, 96916, 47, 373.66, 1.81
204, 26.60, 96916, 47, 373.66, 1.81
212, 26.60, 96916, 47, 373.66, 1.81
221, 26.60, 96916, 47, 373.66, 1.81
230, 26.60, 96916, 47, 373.66, 1.81
238, 26.60, 96916, 47, 373.66, 1.81
247, 26.60, 96916, 47, 373.66, 1.81
255, 26.60, 96916, 47, 373.66, 1.81
270, 26.61, 96915, 47, 373.74, 1.81
278, 26.61, 96915, 47, 373.74, 1.81
287, 26.61, 96915, 47, 373.74, 1.81
295, 26.61, 96915, 47, 373.74, 1.81
303, 26.61, 96915, 47, 373.74, 1.81
313, 26.61, 96915, 47, 373.74, 1.81
321, 26.61, 96915, 47, 373.74, 1.81
329, 26.61, 96915, 47, 373.74, 1.81
338, 26.61, 96915, 47, 373.74, 1.81
346, 26.61, 96915, 47, 373.74, 1.81
355, 26.61, 96915, 47, 373.74, 1.81
364, 26.61, 96917, 47, 373.66, 1.81
372, 26.61, 96916, 47, 373.66, 1.81
380, 26.61, 96916, 47, 373.66, 1.81
393, 26.61, 96916, 47, 373.66, 1.81
402, 26.61, 96916, 47, 373.66, 1.81
410, 26.61, 96916, 47, 373.66, 1.81
419, 26.61, 96916, 47, 373.66, 1.81
