timestamp,temperature,pressure,humidity,altitude,uv
0, 24.76, 99152, 46, 182.48, 1.52
209, 24.76, 99152, 46, 182.48, 1.52
219, 24.76, 99152, 46, 182.48, 1.52
228, 24.76, 99152, 46, 182.48, 1.52
236, 24.76, 99152, 46, 182.48, 1.52
245, 24.76, 99152, 46, 182.48, 1.52
254, 24.76, 99152, 46, 182.48, 1.52
262, 24.76, 99152, 46, 182.48, 1.52
270, 24.76, 99152, 46, 182.48, 1.52
279, 24.76, 99152, 46, 182.48, 1.52
288, 24.76, 99152, 46, 182.48, 1.52
296, 24.76, 99152, 46, 182.48, 1.52
305, 24.76, 99152, 46, 182.90, 1.52
317, 24.72, 99147, 46, 182.90, 1.52
327, 24.72, 99147, 46, 182.90, 1.52
335, 24.72, 99147, 46, 182.90, 1.52
343, 24.72, 99147, 46, 182.90, 1.52
352, 24.72, 99147, 46, 182.90, 1.52
360, 24.72, 99147, 46, 182.90, 1.52
369, 24.72, 99147, 46, 182.90, 1.52
378, 24.72, 99147, 46, 182.90, 1.52
386, 24.72, 99147, 46, 182.90, 1.52
394, 24.72, 99147, 46, 182.90, 1.52
403, 24.72, 99147, 46, 182.82, 1.52
412, 24.72, 99148, 46, 182.82, 1.52
420, 24.72, 99148, 46, 182.82, 1.52
429, 24.72, 99148, 46, 182.82, 1.52
442, 24.72, 99148, 46, 182.82, 1.52
451, 24.72, 99148, 46, 182.82, 1.52
460, 24.72, 99148, 46, 182.82, 1.52
468, 24.72, 99148, 46, 182.82, 1.52
477, 24.72, 99148, 46, 182.82, 1.52
485, 24.72, 99148, 46, 182.82, 1.52
493, 24.72, 99148, 46, 182.82, 1.52
503, 24.72, 99147, 46, 182.90, 1.52
511, 24.71, 99147, 46, 182.90, 1.52
519, 24.71, 99147, 46, 182.90, 1.52
528, 24.71, 99147, 46, 182.90, 1.52
536, 24.71, 99147, 46, 182.90, 1.52
545, 24.71, 99147, 46, 182.90, 1.52
554, 24.71, 99147, 46, 182.90, 1.52
566, 24.71, 99147, 46, 182.90, 1.52
574, 24.71, 99147, 46, 182.90, 1.52
583, 24.71, 99147, 46, 182.90, 1.52
592, 24.71, 99147, 46, 182.90, 1.52
600, 24.71, 99148, 46, 182.82, 1.52
