timestamp,temperature,pressure,humidity,altitude,uv
0, 20.35, 0.98, 47, 296.45, 0.64
15, 20.35, 0.98, 47, 296.45, 0.64
26, 20.35, 0.98, 47, 296.62, 0.64
68, 20.35, 0.98, 47, 296.62, 0.64
110, 20.35, 0.98, 47, 296.62, 0.64
152, 20.34, 0.98, 47, 296.71, 0.64
195, 20.34, 0.98, 47, 296.71, 0.64
238, 20.34, 0.98, 47, 296.71, 0.64
280, 20.34, 0.98, 47, 296.71, 0.64
323, 20.33, 0.98, 47, 296.45, 0.64
366, 20.33, 0.98, 47, 296.45, 0.64
408, 20.33, 0.98, 47, 296.80, 0.64
451, 20.33, 0.98, 47, 296.80, 0.64
493, 20.33, 0.98, 47, 296.80, 0.64
536, 20.34, 0.98, 47, 296.54, 0.64
579, 20.34, 0.98, 47, 296.54, 0.64
621, 20.34, 0.98, 47, 296.45, 0.64
664, 20.34, 0.98, 47, 296.45, 0.64
707, 20.34, 0.98, 47, 296.54, 0.64
749, 20.34, 0.98, 47, 296.54, 0.64
792, 20.34, 0.98, 47, 296.54, 0.64
835, 20.34, 0.98, 47, 296.45, 0.64
877, 20.34, 0.98, 47, 296.45, 0.64
920, 20.35, 0.98, 47, 296.20, 0.64
962, 20.35, 0.98, 47, 296.20, 0.64
1005, 20.35, 0.98, 47, 296.28, 0.64
1049, 20.35, 0.98, 47, 296.28, 0.64
1092, 20.35, 0.98, 47, 296.28, 0.64
1136, 20.35, 0.98, 47, 296.28, 0.64
1180, 20.35, 0.98, 47, 296.20, 0.64
1223, 20.35, 0.98, 47, 296.28, 0.64
1267, 20.35, 0.98, 47, 296.28, 0.64
1311, 20.35, 0.98, 47, 296.37, 0.64
1354, 20.35, 0.98, 47, 296.37, 0.64
1399, 20.34, 0.98, 47, 296.45, 0.64
1443, 20.34, 0.98, 47, 296.45, 0.64
1486, 20.34, 0.98, 47, 296.62, 0.64
1530, 20.34, 0.98, 47, 296.62, 0.64
1574, 20.33, 0.98, 47, 296.62, 0.64
1617, 20.33, 0.98, 47, 296.62, 0.64
1661, 20.33, 0.98, 47, 296.62, 0.64
1705, 20.34, 0.98, 47, 296.54, 0.64
1748, 20.34, 0.98, 47, 296.54, 0.64
1792, 20.34, 0.98, 47, 296.28, 0.64
1836, 20.34, 0.98, 47, 296.28, 0.64
1879, 20.33, 0.98, 47, 296.54, 0.64
1923, 20.33, 0.98, 47, 296.54, 0.64
1967, 20.34, 0.98, 47, 296.54, 0.64
2010, 20.34, 0.98, 47, 296.54, 0.64
2054, 20.34, 0.98, 47, 296.62, 0.64
2098, 20.34, 0.98, 47, 296.62, 0.64
2141, 20.34, 0.98, 47, 296.62, 0.64
2185, 20.34, 0.98, 47, 296.37, 0.64
2228, 20.34, 0.98, 47, 296.37, 0.64
2272, 20.35, 0.98, 47, 296.45, 0.64
2316, 20.35, 0.98, 47, 296.45, 0.64
2359, 20.35, 0.98, 47, 296.62, 0.64
2403, 20.35, 0.98, 47, 296.62, 0.64
2447, 20.35, 0.98, 47, 296.62, 0.64
2490, 20.35, 0.98, 47, 296.62, 0.64
2534, 20.35, 0.98, 47, 296.62, 0.64
2578, 20.35, 0.98, 47, 296.62, 0.64
2621, 20.35, 0.98, 47, 296.62, 0.64
2665, 20.35, 0.98, 47, 296.62, 0.64
2709, 20.35, 0.98, 47, 296.62, 0.64
2752, 20.36, 0.98, 47, 296.62, 0.64
2796, 20.36, 0.98, 47, 296.62, 0.64
2840, 20.35, 0.98, 47, 296.54, 0.64
2883, 20.35, 0.98, 47, 296.54, 0.64
2927, 20.35, 0.98, 47, 296.45, 0.64
2971, 20.35, 0.98, 47, 296.45, 0.64
3014, 20.35, 0.98, 47, 296.37, 0.64
3058, 20.34, 0.98, 47, 296.37, 0.64
3102, 20.34, 0.98, 47, 296.37, 0.64
3145, 20.34, 0.98, 47, 296.62, 0.64
3190, 20.34, 0.98, 47, 296.62, 0.64
3250, 20.34, 0.98, 47, 296.37, 0.64
3277, 20.34, 0.98, 47, 296.37, 0.64
3321, 20.34, 0.98, 47, 296.54, 0.64
3365, 20.34, 0.98, 47, 296.54, 0.64
3408, 20.34, 0.98, 47, 296.80, 0.64
3452, 20.34, 0.98, 47, 296.80, 0.64
3496, 20.34, 0.98, 47, 296.80, 0.64
3539, 20.34, 0.98, 47, 296.54, 0.64
3583, 20.34, 0.98, 47, 296.54, 0.64
3626, 20.35, 0.98, 47, 296.62, 0.64
3670, 20.35, 0.98, 47, 296.62, 0.64
3714, 20.35, 0.98, 47, 296.71, 0.64
3757, 20.35, 0.98, 47, 296.71, 0.64
3801, 20.34, 0.98, 47, 296.71, 0.64
3845, 20.34, 0.98, 47, 296.71, 0.64
3888, 20.34, 0.98, 47, 296.71, 0.64
3932, 20.34, 0.98, 47, 296.71, 0.64
3976, 20.34, 0.98, 47, 296.71, 0.64
4019, 20.34, 0.98, 47, 296.62, 0.64
4063, 20.34, 0.98, 47, 296.62, 0.64
4107, 20.35, 0.98, 47, 296.45, 0.64
4150, 20.35, 0.98, 47, 296.45, 0.64
4194, 20.34, 0.98, 47, 296.45, 0.64
4238, 20.34, 0.98, 47, 296.45, 0.64
4281, 20.33, 0.98, 47, 296.37, 0.64
4325, 20.33, 0.98, 47, 296.37, 0.64
4369, 20.32, 0.98, 47, 296.71, 0.64
4412, 20.32, 0.98, 47, 296.71, 0.64
4456, 20.32, 0.98, 47, 296.71, 0.64
4500, 20.32, 0.98, 47, 296.71, 0.64
4543, 20.32, 0.98, 47, 296.71, 0.64
4587, 20.32, 0.98, 47, 296.54, 0.64
4631, 20.32, 0.98, 47, 296.54, 0.64
4674, 20.31, 0.98, 47, 296.62, 0.64
4718, 20.31, 0.98, 47, 296.62, 0.64
4762, 20.31, 0.98, 47, 296.45, 0.64
4805, 20.31, 0.98, 47, 296.45, 0.64
4849, 20.31, 0.98, 47, 296.45, 0.64
4893, 20.30, 0.98, 47, 296.62, 0.64
4936, 20.30, 0.98, 47, 296.62, 0.64
4980, 20.30, 0.98, 47, 296.54, 0.64
5023, 20.30, 0.98, 47, 296.54, 0.64
5068, 20.29, 0.98, 47, 296.62, 0.64
5112, 20.29, 0.98, 47, 296.62, 0.64
5155, 20.29, 0.98, 47, 296.54, 0.64
5199, 20.29, 0.98, 47, 296.54, 0.64
5243, 20.28, 0.98, 47, 296.62, 0.64
5286, 20.28, 0.98, 47, 296.62, 0.64
5330, 20.28, 0.98, 47, 296.62, 0.64
5374, 20.28, 0.98, 47, 296.62, 0.64
5417, 20.28, 0.98, 47, 296.62, 0.64
5461, 20.28, 0.98, 47, 296.28, 0.64
5505, 20.28, 0.98, 47, 296.28, 0.64
5548, 20.27, 0.98, 47, 296.54, 0.64
5592, 20.27, 0.98, 47, 296.54, 0.64
5636, 20.27, 0.98, 47, 296.88, 0.64
5679, 20.27, 0.98, 47, 296.88, 0.64
5723, 20.27, 0.98, 47, 296.54, 0.64
5767, 20.27, 0.98, 47, 296.54, 0.64
5810, 20.27, 0.98, 47, 296.54, 0.64
5854, 20.28, 0.98, 47, 296.54, 0.64
5898, 20.28, 0.98, 47, 296.54, 0.64
5941, 20.28, 0.98, 47, 296.62, 0.64
5985, 20.28, 0.98, 47, 296.62, 0.64
6029, 20.27, 0.98, 47, 296.71, 0.64
6072, 20.27, 0.98, 47, 296.71, 0.64
6116, 20.27, 0.98, 47, 296.45, 0.64
6160, 20.27, 0.98, 47, 296.45, 0.64
6203, 20.27, 0.98, 47, 296.62, 0.64
6247, 20.27, 0.98, 47, 296.62, 0.64
6291, 20.27, 0.98, 47, 296.62, 0.64
6334, 20.27, 0.98, 47, 296.28, 0.64
6378, 20.27, 0.98, 47, 296.28, 0.64
6421, 20.27, 0.98, 47, 296.45, 0.64
6465, 20.27, 0.98, 47, 296.45, 0.64
6509, 20.26, 0.98, 47, 296.62, 0.64
6552, 20.26, 0.98, 47, 296.62, 0.64
6596, 20.26, 0.98, 47, 296.28, 0.64
6640, 20.26, 0.98, 47, 296.28, 0.64
6683, 20.26, 0.98, 47, 296.28, 0.64
6727, 20.25, 0.98, 47, 296.62, 0.64
6771, 20.25, 0.98, 47, 296.62, 0.64
6814, 20.26, 0.98, 47, 296.62, 0.64
6858, 20.26, 0.98, 47, 296.62, 0.64
6903, 20.25, 0.98, 47, 296.37, 0.64
6946, 20.25, 0.98, 47, 296.37, 0.64
6990, 20.24, 0.98, 47, 296.71, 0.64
7034, 20.24, 0.98, 47, 296.71, 0.64
7077, 20.24, 0.98, 47, 296.62, 0.64
7121, 20.24, 0.98, 47, 296.62, 0.64
7165, 20.24, 0.98, 47, 296.62, 0.64
7208, 20.24, 0.98, 47, 296.54, 0.64
7252, 20.24, 0.98, 47, 296.54, 0.64
7296, 20.24, 0.98, 47, 296.54, 0.64
7339, 20.24, 0.98, 47, 296.54, 0.64
7383, 20.24, 0.98, 47, 296.54, 0.64
7427, 20.24, 0.98, 47, 296.54, 0.64
7470, 20.24, 0.98, 47, 296.45, 0.64
7514, 20.24, 0.98, 47, 296.45, 0.64
7558, 20.24, 0.98, 47, 296.54, 0.64
7601, 20.24, 0.98, 47, 296.54, 0.64
7645, 20.24, 0.98, 47, 296.54, 0.64
7689, 20.23, 0.98, 47, 296.54, 0.64
7732, 20.23, 0.98, 47, 296.54, 0.64
7776, 20.24, 0.98, 47, 296.62, 0.64
7819, 20.24, 0.98, 47, 296.62, 0.64
7863, 20.23, 0.98, 47, 296.62, 0.64
7907, 20.23, 0.98, 47, 296.62, 0.64
7950, 20.23, 0.98, 47, 296.54, 0.64
7994, 20.23, 0.98, 47, 296.54, 0.64
8038, 20.23, 0.98, 47, 296.54, 0.64
8081, 20.23, 0.98, 47, 296.54, 0.64
8125, 20.23, 0.98, 47, 296.54, 0.64
8169, 20.24, 0.98, 47, 296.54, 0.64
8212, 20.24, 0.98, 47, 296.54, 0.64
8256, 20.24, 0.98, 47, 296.45, 0.64
8300, 20.24, 0.98, 47, 296.45, 0.64
8343, 20.24, 0.98, 47, 296.80, 0.64
8387, 20.24, 0.98, 47, 296.80, 0.64
8431, 20.24, 0.98, 47, 296.45, 0.64
8474, 20.24, 0.98, 47, 296.45, 0.64
8518, 20.24, 0.98, 47, 296.45, 0.64
8562, 20.24, 0.98, 47, 296.54, 0.64
8605, 20.24, 0.98, 47, 296.54, 0.64
8649, 20.25, 0.98, 47, 296.80, 0.64
8694, 20.25, 0.98, 47, 296.80, 0.64
8737, 20.25, 0.98, 47, 296.71, 0.64
8781, 20.25, 0.98, 47, 296.71, 0.64
8825, 20.24, 0.98, 47, 296.71, 0.64
8868, 20.24, 0.98, 47, 296.71, 0.64
8912, 20.24, 0.98, 47, 296.71, 0.64
8957, 20.24, 0.98, 47, 296.71, 0.64
8999, 20.24, 0.98, 47, 296.71, 0.64
9043, 20.24, 0.98, 47, 296.71, 0.64
9087, 20.24, 0.98, 47, 296.71, 0.64
9130, 20.24, 0.98, 47, 296.45, 0.64
9174, 20.24, 0.98, 47, 296.45, 0.64
9217, 20.24, 0.98, 47, 296.62, 0.64
9261, 20.24, 0.98, 47, 296.62, 0.64
9305, 20.24, 0.98, 47, 296.62, 0.64
9348, 20.24, 0.98, 47, 296.62, 0.64
9392, 20.23, 0.98, 47, 296.54, 0.64
9436, 20.23, 0.98, 47, 296.54, 0.64
9479, 20.23, 0.98, 47, 296.54, 0.64
9523, 20.23, 0.98, 47, 296.54, 0.64
9567, 20.23, 0.98, 47, 296.54, 0.64
9610, 20.23, 0.98, 47, 296.28, 0.64
9654, 20.23, 0.98, 47, 296.28, 0.64
9698, 20.22, 0.98, 47, 296.37, 0.64
9741, 20.22, 0.98, 47, 296.37, 0.64
9785, 20.22, 0.98, 47, 296.54, 0.64
9829, 20.22, 0.98, 47, 296.54, 0.64
9872, 20.22, 0.98, 47, 296.62, 0.64
9916, 20.22, 0.98, 47, 296.62, 0.64
9960, 20.22, 0.98, 47, 296.62, 0.64
10003, 20.22, 0.98, 47, 296.37, 0.64
10048, 20.22, 0.98, 47, 296.37, 0.64
10093, 20.22, 0.98, 47, 296.02, 0.64
10137, 20.22, 0.98, 47, 296.02, 0.64
10182, 20.22, 0.98, 47, 296.28, 0.64
10227, 20.22, 0.98, 47, 296.28, 0.64
10271, 20.22, 0.98, 47, 296.02, 0.64
10317, 20.22, 0.98, 47, 296.02, 0.64
10362, 20.22, 0.98, 47, 296.54, 0.64
10406, 20.22, 0.98, 47, 296.54, 0.64
10451, 20.22, 0.98, 47, 296.62, 0.64
10496, 20.22, 0.98, 47, 296.62, 0.64
10540, 20.22, 0.98, 47, 296.62, 0.64
10585, 20.23, 0.98, 47, 296.62, 0.64
10630, 20.23, 0.98, 47, 296.62, 0.64
10674, 20.23, 0.98, 47, 296.71, 0.64
10719, 20.23, 0.98, 47, 296.71, 0.64
10764, 20.23, 0.98, 47, 296.54, 0.64
10808, 20.23, 0.98, 47, 296.54, 0.64
10853, 20.23, 0.98, 47, 296.97, 0.64
10898, 20.23, 0.98, 47, 296.97, 0.64
10942, 20.23, 0.98, 47, 296.71, 0.64
10987, 20.23, 0.98, 47, 296.71, 0.64
11032, 20.24, 0.98, 47, 296.80, 0.64
11076, 20.24, 0.98, 47, 296.80, 0.64
11121, 20.24, 0.98, 47, 296.80, 0.64
11166, 20.24, 0.98, 47, 296.54, 0.64
11210, 20.24, 0.98, 47, 296.54, 0.64
11256, 20.25, 0.98, 47, 296.80, 0.64
11301, 20.25, 0.98, 47, 296.80, 0.64
11345, 20.25, 0.98, 47, 296.62, 0.64
11390, 20.25, 0.98, 47, 296.62, 0.64
11435, 20.25, 0.98, 47, 296.62, 0.64
11479, 20.25, 0.98, 47, 296.62, 0.64
11524, 20.25, 0.98, 47, 296.54, 0.64
11569, 20.25, 0.98, 47, 296.54, 0.64
11613, 20.25, 0.98, 47, 296.54, 0.64
11658, 20.25, 0.98, 47, 296.54, 0.64
11703, 20.25, 0.98, 47, 296.54, 0.64
11748, 20.24, 0.98, 47, 296.62, 0.64
11792, 20.24, 0.98, 47, 296.62, 0.64
11837, 20.25, 0.98, 47, 296.62, 0.64
11882, 20.25, 0.98, 47, 296.62, 0.64
11926, 20.25, 0.98, 47, 296.54, 0.64
11975, 20.25, 0.98, 47, 296.54, 0.64
12016, 20.25, 0.98, 48, 296.80, 0.64
12060, 20.25, 0.98, 48, 296.80, 0.64
12105, 20.25, 0.98, 47, 296.80, 0.64
12151, 20.25, 0.98, 47, 296.80, 0.64
12195, 20.24, 0.98, 48, 296.62, 0.64
12240, 20.24, 0.98, 48, 296.62, 0.64
12285, 20.24, 0.98, 48, 296.54, 0.64
12329, 20.24, 0.98, 48, 296.54, 0.64
12374, 20.24, 0.98, 48, 296.54, 0.64
12419, 20.24, 0.98, 47, 296.54, 0.64
12463, 20.24, 0.98, 47, 296.54, 0.64
12508, 20.25, 0.98, 47, 296.54, 0.64
12553, 20.25, 0.98, 47, 296.54, 0.64
12597, 20.23, 0.98, 48, 296.62, 0.64
12642, 20.23, 0.98, 48, 296.62, 0.64
12687, 20.23, 0.98, 47, 296.62, 0.64
12731, 20.23, 0.98, 47, 296.62, 0.64
12776, 20.23, 0.98, 47, 296.80, 0.64
12821, 20.23, 0.98, 47, 296.80, 0.64
12865, 20.23, 0.98, 47, 296.62, 0.64
