time,temp,press,hum
1416427200, "2014/11/14 140:0:0", 20.85, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.85, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.85, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.85, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.85, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.85, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.85, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.84, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.84, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.84, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.84, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.83, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.84, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.84, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.83, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.83, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.83, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.84, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.83, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.83, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.83, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.83, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.83, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.83, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.83, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.83, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.82, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.82, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.82, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.82, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.81, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.82, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.82, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.82, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.82, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.82, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.82, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.81, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.81, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.81, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.82, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.82, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.82, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.82, 0.92, 16.00
1416427200, "2014/11/14 140:0:0", 20.82, 0.92, 16.00
