time,temp,press,hum
"2014/11/15 140:0:0", 20.82, 0.92, 16.00
"2014/11/15 140:0:0", 20.82, 0.92, 16.00
"2014/11/15 140:0:0", 20.80, 0.92, 16.00
"2014/11/15 140:0:0", 20.78, 0.92, 16.00
"2014/11/15 140:0:0", 20.80, 0.92, 16.00
"2014/11/15 140:0:0", 20.79, 0.92, 16.00
"2014/11/15 140:0:0", 20.80, 0.92, 16.00
"2014/11/15 140:0:0", 20.79, 0.92, 16.00
"2014/11/15 140:0:0", 20.79, 0.92, 16.00
"2014/11/15 140:0:0", 20.79, 0.92, 16.00
"2014/11/15 140:0:0", 20.79, 0.92, 16.00
"2014/11/15 140:0:0", 20.79, 0.92, 16.00
"2014/11/15 140:0:0", 20.78, 0.92, 16.00
"2014/11/15 140:0:0", 20.77, 0.92, 16.00
"2014/11/15 140:0:0", 20.77, 0.92, 16.00
"2014/11/15 140:0:0", 20.78, 0.92, 16.00
"2014/11/15 140:0:0", 20.78, 0.92, 16.00
"2014/11/15 140:0:0", 20.78, 0.92, 16.00
"2014/11/15 140:0:0", 20.78, 0.92, 16.00
"2014/11/15 140:0:0", 20.78, 0.92, 16.00
"2014/11/15 140:0:0", 20.78, 0.92, 16.00
"2014/11/15 140:0:0", 20.77, 0.92, 16.00
"2014/11/15 140:0:0", 20.77, 0.92, 16.00
"2014/11/15 140:0:0", 20.77, 0.92, 16.00
"2014/11/15 140:0:0", 20.78, 0.92, 16.00
"2014/11/15 140:0:0", 20.77, 0.92, 16.00
"2014/11/15 140:0:0", 20.78, 0.92, 16.00
"2014/11/15 140:0:0", 20.78, 0.92, 16.00
"2014/11/15 140:0:0", 20.78, 0.92, 16.00
"2014/11/15 140:0:0", 20.79, 0.92, 16.00
"2014/11/15 140:0:0", 20.79, 0.92, 16.00
"2014/11/15 140:0:0", 20.79, 0.92, 16.00
"2014/11/15 140:0:0", 20.79, 0.92, 16.00
"2014/11/15 140:0:0", 20.79, 0.92, 16.00
"2014/11/15 140:0:0", 20.79, 0.92, 16.00
"2014/11/15 140:0:0", 20.80, 0.92, 16.00
"2014/11/15 140:0:0", 20.79, 0.92, 16.00
"2014/11/15 140:0:0", 20.80, 0.92, 16.00
"2014/11/15 140:0:0", 20.79, 0.92, 16.00
"2014/11/15 140:0:0", 20.79, 0.92, 16.00
"2014/11/15 140:0:0", 20.79, 0.92, 16.00
"2014/11/15 140:0:0", 20.79, 0.92, 16.00
"2014/11/15 140:0:0", 20.80, 0.92, 16.00
"2014/11/15 140:0:0", 20.80, 0.92, 16.00
"2014/11/15 140:0:0", 20.79, 0.92, 16.00
"2014/11/15 140:0:0", 20.79, 0.92, 16.00
"2014/11/15 140:0:0", 20.80, 0.92, 16.00
"2014/11/15 140:0:0", 20.80, 0.92, 16.00
"2014/11/15 140:0:0", 20.80, 0.92, 16.00
"2014/11/15 140:0:0", 20.81, 0.92, 16.00
"2014/11/15 140:0:0", 20.80, 0.92, 16.00
"2014/11/15 140:0:0", 20.81, 0.92, 16.00
"2014/11/15 140:0:0", 20.81, 0.92, 16.00
"2014/11/15 140:0:0", 20.82, 0.92, 16.00
"2014/11/15 140:0:0", 20.81, 0.92, 16.00
"2014/11/15 140:0:0", 20.82, 0.92, 16.00
"2014/11/16 140:0:0", 20.82, 0.92, 16.00
"2014/11/16 140:0:0", 20.82, 0.92, 16.00
"2014/11/16 140:0:0", 20.83, 0.92, 16.00
"2014/11/16 140:0:0", 20.83, 0.92, 16.00
"2014/11/16 140:0:0", 20.83, 0.92, 16.00
"2014/11/16 140:0:0", 20.83, 0.92, 16.00
"2014/11/16 140:0:0", 20.83, 0.92, 16.00
"2014/11/16 140:0:0", 20.83, 0.92, 16.00
"2014/11/16 140:0:0", 20.83, 0.92, 16.00
"2014/11/16 140:0:0", 20.84, 0.92, 16.00
"2014/11/16 140:0:0", 20.84, 0.92, 16.00
"2014/11/16 140:0:0", 20.84, 0.92, 16.00
"2014/11/16 140:0:0", 20.85, 0.92, 16.00
"2014/11/16 140:0:0", 20.85, 0.92, 16.00
"2014/11/16 140:0:0", 20.85, 0.92, 16.00
"2014/11/16 140:0:0", 20.85, 0.92, 16.00
"2014/11/16 140:0:0", 20.85, 0.92, 16.00
"2014/11/16 140:0:0", 20.85, 0.92, 16.00
"2014/11/16 140:0:0", 20.85, 0.92, 16.00
"2014/11/16 140:0:0", 20.86, 0.92, 16.00
"2014/11/16 140:0:0", 20.86, 0.92, 16.00
"2014/11/16 140:0:0", 20.86, 0.92, 16.00
"2014/11/16 140:0:0", 20.86, 0.92, 16.00
"2014/11/16 140:0:0", 20.87, 0.92, 16.00
"2014/11/16 140:0:0", 20.87, 0.92, 16.00
"2014/11/16 140:0:0", 20.87, 0.92, 16.00
"2014/11/16 140:0:0", 20.87, 0.92, 16.00
"2014/11/16 140:0:0", 20.87, 0.92, 16.00
"2014/11/16 140:0:0", 20.87, 0.92, 16.00
"2014/11/16 140:0:0", 20.87, 0.92, 16.00
"2014/11/16 140:0:0", 20.87, 0.92, 16.00
"2014/11/16 140:0:0", 20.88, 0.92, 16.00
"2014/11/16 140:0:0", 20.87, 0.92, 16.00
"2014/11/16 140:0:0", 20.88, 0.92, 16.00
"2014/11/16 140:0:0", 20.88, 0.92, 16.00
"2014/11/16 140:0:0", 20.88, 0.92, 16.00
"2014/11/16 140:0:0", 20.88, 0.92, 16.00
"2014/11/16 140:0:0", 20.88, 0.92, 16.00
"2014/11/16 140:0:0", 20.88, 0.92, 16.00
"2014/11/16 140:0:0", 20.88, 0.92, 16.00
"2014/11/16 140:0:0", 20.89, 0.92, 16.00
"2014/11/16 140:0:0", 20.89, 0.92, 17.00
