time,temperature,pressure,humidity
"2014/11/10 140:0:0", 25.45, 0.92, 20.00
"2014/11/10 140:0:0", 25.44, 0.92, 21.00
"2014/11/10 140:0:0", 25.43, 0.92, 21.00
"2014/11/10 140:0:0", 25.41, 0.92, 21.00
"2014/11/10 140:0:0", 25.39, 0.92, 21.00
"2014/11/10 140:0:0", 25.36, 0.92, 20.00
"2014/11/10 140:0:0", 25.34, 0.92, 21.00
"2014/11/10 140:0:0", 25.33, 0.92, 21.00
"2014/11/10 140:0:0", 25.35, 0.92, 21.00
"2014/11/10 140:0:0", 25.34, 0.92, 21.00
"2014/11/10 140:0:0", 25.32, 0.92, 21.00
"2014/11/10 140:0:0", 25.31, 0.92, 20.00
"2014/11/10 140:0:0", 25.31, 0.92, 21.00
"2014/11/10 140:0:0", 25.30, 0.92, 20.00
"2014/11/10 140:0:0", 25.30, 0.92, 20.00
"2014/11/10 140:0:0", 25.28, 0.92, 20.00
"2014/11/10 140:0:0", 25.27, 0.92, 20.00
"2014/11/10 140:0:0", 25.26, 0.92, 20.00
"2014/11/10 140:0:0", 25.25, 0.92, 20.00
"2014/11/10 140:0:0", 25.24, 0.92, 20.00
"2014/11/10 140:0:0", 25.21, 0.92, 20.00
"2014/11/10 140:0:0", 25.18, 0.92, 20.00
"2014/11/10 140:0:0", 25.17, 0.92, 20.00
"2014/11/10 140:0:0", 25.17, 0.92, 20.00
"2014/11/10 140:0:0", 25.15, 0.92, 20.00
"2014/11/10 140:0:0", 25.16, 0.92, 23.00
"2014/11/10 140:0:0", 25.20, 0.92, 30.00
"2014/11/10 140:0:0", 25.22, 0.92, 32.00
"2014/11/10 140:0:0", 25.23, 0.92, 32.00
"2014/11/10 140:0:0", 25.23, 0.92, 30.00
"2014/11/10 140:0:0", 25.21, 0.92, 27.00
"2014/11/10 140:0:0", 25.20, 0.92, 26.00
"2014/11/11 140:0:0", 25.42, 0.92, 30.00
"2014/11/11 140:0:0", 25.76, 0.92, 31.00
"2014/11/11 140:0:0", 26.03, 0.92, 29.00
"2014/11/11 140:0:0", 26.35, 0.92, 29.00
"2014/11/11 140:0:0", 26.69, 0.92, 31.00
"2014/11/11 140:0:0", 26.94, 0.92, 31.00
"2014/11/11 140:0:0", 27.02, 0.92, 29.00
"2014/11/11 140:0:0", 27.05, 0.92, 34.00
"2014/11/11 140:0:0", 27.06, 0.92, 35.00
"2014/11/11 140:0:0", 27.06, 0.92, 30.00
"2014/11/11 140:0:0", 27.02, 0.92, 30.00
"2014/11/11 140:0:0", 26.98, 0.92, 27.00
"2014/11/11 140:0:0", 26.92, 0.92, 24.00
"2014/11/11 140:0:0", 26.88, 0.92, 23.00
"2014/11/11 140:0:0", 26.84, 0.92, 22.00
"2014/11/11 140:0:0", 26.79, 0.92, 21.00
"2014/11/11 140:0:0", 26.75, 0.92, 21.00
"2014/11/11 140:0:0", 26.72, 0.92, 23.00
"2014/11/11 140:0:0", 26.69, 0.92, 24.00
"2014/11/11 140:0:0", 26.67, 0.92, 24.00
"2014/11/11 140:0:0", 26.65, 0.92, 23.00
"2014/11/11 140:0:0", 26.62, 0.92, 23.00
