time,temperature,pressure,humidity,altitude
"2014/11/2 140:0:0", 22.21, 0.92, 25.00, 822.82
"2014/11/2 140:0:0", 22.55, 0.92, 25.00, 822.64
"2014/11/2 140:0:0", 22.60, 0.92, 25.00, 822.37
"2014/11/2 140:0:0", 22.61, 0.92, 25.00, 822.28
"2014/11/2 140:0:0", 22.62, 0.92, 25.00, 822.28
"2014/11/2 140:0:0", 22.63, 0.92, 25.00, 822.37
"2014/11/2 140:0:0", 22.63, 0.92, 25.00, 822.55
"2014/11/2 140:0:0", 22.63, 0.92, 25.00, 822.28
"2014/11/2 140:0:0", 22.63, 0.92, 25.00, 822.37
"2014/11/2 140:0:0", 22.63, 0.92, 25.00, 822.46
"2014/11/2 140:0:0", 22.64, 0.92, 25.00, 822.55
"2014/11/2 140:0:0", 22.64, 0.92, 25.00, 822.55
"2014/11/2 140:0:0", 22.64, 0.92, 25.00, 822.55
"2014/11/2 140:0:0", 22.64, 0.92, 25.00, 822.46
"2014/11/2 140:0:0", 22.64, 0.92, 25.00, 822.46
