timestamp,temperature,pressure,humidity,altitude,uv
1, 22.24, 0.92, 37, 835.36, 0.00
35, 22.24, 0.92, 37, 835.36, 0.00
46, 22.24, 0.92, 37, 835.36, 0.00
70, 22.24, 0.92, 37, 835.36, 0.00
111, 22.23, 0.92, 37, 835.36, 0.00
154, 22.23, 0.92, 37, 835.36, 0.00
197, 22.23, 0.92, 37, 835.72, 0.00
239, 22.23, 0.92, 37, 835.72, 0.00
282, 22.23, 0.92, 37, 835.45, 0.00
325, 22.23, 0.92, 37, 835.45, 0.00
367, 22.23, 0.92, 37, 835.90, 0.00
410, 22.23, 0.92, 37, 835.90, 0.00
453, 22.23, 0.92, 37, 835.90, 0.00
495, 22.23, 0.92, 37, 835.72, 0.00
538, 22.23, 0.92, 37, 835.72, 0.00
580, 22.23, 0.92, 37, 835.63, 0.00
623, 22.23, 0.92, 37, 835.63, 0.00
666, 22.23, 0.92, 37, 835.54, 0.00
708, 22.23, 0.92, 37, 835.54, 0.00
751, 22.23, 0.92, 37, 835.72, 0.00
794, 22.23, 0.92, 37, 835.72, 0.00
836, 22.23, 0.92, 37, 835.72, 0.00
879, 22.23, 0.92, 37, 835.90, 0.00
922, 22.23, 0.92, 37, 835.90, 0.00
964, 22.24, 0.92, 37, 835.45, 0.00
1007, 22.24, 0.92, 37, 835.45, 0.00
1051, 22.24, 0.92, 37, 835.72, 0.00
1094, 22.24, 0.92, 37, 835.72, 0.00
1138, 22.24, 0.92, 37, 835.45, 0.00
1181, 22.24, 0.92, 37, 835.45, 0.00
1225, 22.24, 0.92, 37, 835.45, 0.00
1269, 22.24, 0.92, 37, 835.63, 0.00
1312, 22.24, 0.92, 37, 835.63, 0.00
1356, 22.24, 0.92, 37, 835.45, 0.00
1400, 22.24, 0.92, 37, 835.45, 0.00
1443, 22.24, 0.92, 37, 835.63, 0.00
1487, 22.24, 0.92, 37, 835.63, 0.00
1531, 22.24, 0.92, 37, 835.63, 0.00
1574, 22.24, 0.92, 37, 835.63, 0.00
1618, 22.24, 0.92, 37, 835.81, 0.00
1662, 22.24, 0.92, 37, 835.81, 0.00
1705, 22.24, 0.92, 37, 835.81, 0.00
1749, 22.25, 0.92, 37, 835.54, 0.00
1793, 22.25, 0.92, 37, 835.54, 0.00
1836, 22.25, 0.92, 38, 835.63, 0.00
1880, 22.25, 0.92, 38, 835.63, 0.00
1924, 22.25, 0.92, 38, 835.54, 0.00
1967, 22.25, 0.92, 38, 835.54, 0.00
2011, 22.25, 0.92, 38, 835.45, 0.00
2055, 22.25, 0.92, 38, 835.45, 0.00
2098, 22.25, 0.92, 38, 835.27, 0.00
2142, 22.25, 0.92, 38, 835.36, 0.00
2186, 22.25, 0.92, 38, 835.36, 0.00
2229, 22.25, 0.92, 38, 835.45, 0.00
2273, 22.25, 0.92, 38, 835.45, 0.00
2317, 22.25, 0.92, 38, 835.54, 0.00
2360, 22.25, 0.92, 38, 835.54, 0.00
2404, 22.25, 0.92, 38, 835.63, 0.00
2448, 22.25, 0.92, 38, 835.63, 0.00
2491, 22.25, 0.92, 38, 835.72, 0.00
2536, 22.25, 0.92, 38, 835.72, 0.00
2579, 22.25, 0.92, 38, 835.72, 0.00
2623, 22.25, 0.92, 38, 835.72, 0.00
2667, 22.25, 0.92, 38, 835.72, 0.00
2710, 22.26, 0.92, 38, 835.36, 0.00
2754, 22.26, 0.92, 38, 835.36, 0.00
2798, 22.25, 0.92, 38, 835.45, 0.00
2841, 22.25, 0.92, 38, 835.45, 0.00
2885, 22.25, 0.92, 38, 835.81, 0.00
2929, 22.25, 0.92, 38, 835.81, 0.00
2972, 22.25, 0.92, 38, 835.72, 0.00
3016, 22.25, 0.92, 38, 835.72, 0.00
3060, 22.25, 0.92, 38, 835.72, 0.00
3103, 22.25, 0.92, 38, 835.72, 0.00
3147, 22.25, 0.92, 38, 835.72, 0.00
3191, 22.26, 0.92, 38, 835.54, 0.00
3234, 22.26, 0.92, 38, 835.54, 0.00
3278, 22.25, 0.92, 38, 835.72, 0.00
3322, 22.25, 0.92, 38, 835.72, 0.00
3365, 22.25, 0.92, 38, 835.81, 0.00
3409, 22.25, 0.92, 38, 835.81, 0.00
3453, 22.25, 0.92, 38, 835.81, 0.00
3496, 22.25, 0.92, 38, 835.72, 0.00
3540, 22.25, 0.92, 38, 835.72, 0.00
3584, 22.26, 0.92, 38, 835.36, 0.00
3627, 22.26, 0.92, 38, 835.36, 0.00
3671, 22.26, 0.92, 38, 835.54, 0.00
3715, 22.26, 0.92, 38, 835.54, 0.00
3758, 22.25, 0.92, 38, 835.54, 0.00
3802, 22.25, 0.92, 38, 835.54, 0.00
3846, 22.26, 0.92, 38, 835.54, 0.00
3889, 22.26, 0.92, 38, 835.54, 0.00
3933, 22.26, 0.92, 38, 835.54, 0.00
3976, 22.26, 0.92, 38, 835.45, 0.00
4020, 22.26, 0.92, 38, 835.45, 0.00
4064, 22.26, 0.92, 38, 835.45, 0.00
4107, 22.26, 0.92, 38, 835.45, 0.00
4151, 22.26, 0.92, 38, 835.45, 0.00
4195, 22.26, 0.92, 38, 835.45, 0.00
4238, 22.26, 0.92, 38, 835.36, 0.00
4282, 22.26, 0.92, 38, 835.36, 0.00
4326, 22.26, 0.92, 38, 835.45, 0.00
4370, 22.26, 0.92, 38, 835.45, 0.00
4414, 22.26, 0.92, 38, 835.45, 0.00
4458, 22.27, 0.92, 38, 835.36, 0.00
4501, 22.27, 0.92, 38, 835.36, 0.00
4545, 22.27, 0.92, 38, 835.45, 0.00
4589, 22.27, 0.92, 38, 835.45, 0.00
4632, 22.27, 0.92, 38, 835.36, 0.00
4676, 22.27, 0.92, 38, 835.36, 0.00
4720, 22.27, 0.92, 38, 835.54, 0.00
4763, 22.27, 0.92, 38, 835.54, 0.00
4807, 22.27, 0.92, 38, 835.54, 0.00
4851, 22.27, 0.92, 38, 835.27, 0.00
4894, 22.27, 0.92, 38, 835.27, 0.00
4938, 22.27, 0.92, 38, 835.81, 0.00
4982, 22.27, 0.92, 38, 835.81, 0.00
5025, 22.27, 0.92, 38, 835.45, 0.00
5069, 22.27, 0.92, 38, 835.45, 0.00
5113, 22.27, 0.92, 38, 835.45, 0.00
5156, 22.27, 0.92, 38, 835.45, 0.00
5200, 22.27, 0.92, 38, 835.45, 0.00
5244, 22.27, 0.92, 38, 835.45, 0.00
5287, 22.27, 0.92, 38, 835.45, 0.00
5331, 22.27, 0.92, 38, 835.36, 0.00
5374, 22.27, 0.92, 38, 835.36, 0.00
5418, 22.28, 0.92, 38, 835.36, 0.00
5462, 22.28, 0.92, 38, 835.36, 0.00
5505, 22.27, 0.92, 38, 835.45, 0.00
5549, 22.27, 0.92, 38, 835.45, 0.00
5593, 22.27, 0.92, 38, 835.27, 0.00
5636, 22.27, 0.92, 38, 835.27, 0.00
5680, 22.27, 0.92, 38, 835.54, 0.00
5724, 22.27, 0.92, 38, 835.54, 0.00
5767, 22.27, 0.92, 38, 835.54, 0.00
5811, 22.27, 0.92, 38, 835.63, 0.00
5855, 22.27, 0.92, 38, 835.63, 0.00
5898, 22.28, 0.92, 38, 835.45, 0.00
5942, 22.28, 0.92, 38, 835.45, 0.00
5986, 22.27, 0.92, 38, 835.18, 0.00
6029, 22.27, 0.92, 38, 835.18, 0.00
6073, 22.27, 0.92, 38, 835.54, 0.00
6117, 22.27, 0.92, 38, 835.54, 0.00
6160, 22.27, 0.92, 38, 835.54, 0.00
6205, 22.27, 0.92, 38, 835.72, 0.00
6249, 22.27, 0.92, 38, 835.72, 0.00
6292, 22.28, 0.92, 38, 835.45, 0.00
6336, 22.28, 0.92, 38, 835.45, 0.00
6380, 22.28, 0.92, 38, 835.54, 0.00
6423, 22.28, 0.92, 38, 835.54, 0.00
6467, 22.27, 0.92, 38, 835.45, 0.00
6511, 22.27, 0.92, 38, 835.45, 0.00
6554, 22.28, 0.92, 38, 835.45, 0.00
6598, 22.28, 0.92, 38, 835.45, 0.00
6642, 22.28, 0.92, 38, 835.45, 0.00
6685, 22.27, 0.92, 38, 835.63, 0.00
6729, 22.27, 0.92, 38, 835.63, 0.00
6772, 22.28, 0.92, 38, 835.45, 0.00
6816, 22.28, 0.92, 38, 835.45, 0.00
6860, 22.28, 0.92, 38, 835.54, 0.00
6903, 22.28, 0.92, 38, 835.54, 0.00
6947, 22.28, 0.92, 38, 835.45, 0.00
6991, 22.28, 0.92, 38, 835.45, 0.00
7034, 22.28, 0.92, 38, 835.45, 0.00
7078, 22.28, 0.92, 38, 835.45, 0.00
7122, 22.28, 0.92, 38, 835.45, 0.00
7165, 22.28, 0.92, 38, 835.27, 0.00
7209, 22.28, 0.92, 38, 835.27, 0.00
7253, 22.28, 0.92, 38, 835.36, 0.00
7296, 22.28, 0.92, 38, 835.36, 0.00
7340, 22.28, 0.92, 38, 835.45, 0.00
7384, 22.28, 0.92, 38, 835.45, 0.00
7427, 22.28, 0.92, 38, 835.54, 0.00
7471, 22.28, 0.92, 38, 835.54, 0.00
7515, 22.28, 0.92, 38, 835.54, 0.00
7558, 22.28, 0.92, 39, 835.27, 0.00
7602, 22.28, 0.92, 39, 835.27, 0.00
7646, 22.28, 0.92, 39, 835.36, 0.00
7689, 22.28, 0.92, 39, 835.36, 0.00
7733, 22.28, 0.92, 39, 835.36, 0.00
