timestamp,temperature,pressure,humidity,altitude,uv
0, 32.59, 99156, 28, 182.14, 3.23
16, 32.59, 99156, 28, 182.14, 3.23
24, 32.59, 99156, 28, 182.14, 3.23
32, 32.59, 99156, 28, 182.14, 3.23
41, 32.60, 99160, 28, 181.80, 3.23
49, 32.60, 99160, 28, 181.80, 3.23
58, 32.60, 99160, 28, 181.80, 3.23
67, 32.60, 99160, 28, 181.80, 3.23
75, 32.60, 99160, 28, 181.80, 3.23
83, 32.60, 99160, 28, 181.80, 3.23
92, 32.60, 99160, 28, 181.80, 3.23
101, 32.60, 99160, 28, 181.80, 3.23
109, 32.60, 99160, 28, 181.80, 3.23
124, 32.60, 99160, 28, 181.80, 3.23
132, 32.60, 99160, 28, 182.14, 3.23
141, 32.58, 99152, 28, 182.48, 3.23
150, 32.58, 99152, 28, 182.48, 3.23
158, 32.58, 99152, 28, 182.48, 3.23
166, 32.58, 99152, 28, 182.48, 3.23
174, 32.58, 99152, 28, 182.48, 3.23
184, 32.58, 99152, 28, 182.48, 3.23
192, 32.58, 99152, 28, 182.48, 3.23
200, 32.58, 99152, 28, 182.48, 3.23
209, 32.58, 99152, 28, 182.48, 3.23
217, 32.58, 99152, 28, 182.48, 3.23
226, 32.58, 99152, 28, 182.48, 3.18
235, 32.58, 99155, 28, 182.22, 3.23
247, 32.58, 99155, 28, 182.22, 3.23
255, 32.58, 99155, 28, 182.22, 3.23
264, 32.58, 99155, 28, 182.22, 3.23
273, 32.58, 99155, 28, 182.22, 3.23
281, 32.58, 99155, 28, 182.22, 3.23
289, 32.58, 99155, 28, 182.22, 3.23
298, 32.58, 99155, 28, 182.22, 3.23
307, 32.58, 99155, 28, 182.22, 3.23
315, 32.58, 99155, 28, 182.22, 3.23
324, 32.58, 99155, 28, 182.22, 3.23
332, 32.58, 99154, 28, 182.31, 3.23
340, 32.59, 99154, 28, 182.31, 3.23
350, 32.59, 99154, 28, 182.31, 3.23
358, 32.59, 99154, 28, 182.31, 3.23
372, 32.59, 99154, 28, 182.31, 3.27
380, 32.59, 99154, 28, 182.31, 3.27
388, 32.59, 99154, 28, 182.31, 3.23
398, 32.59, 99154, 28, 182.31, 3.23
406, 32.59, 99154, 28, 182.31, 3.23
414, 32.59, 99154, 28, 182.31, 3.23
423, 32.59, 99154, 28, 182.31, 3.27
431, 32.60, 99156, 28, 182.14, 3.23
440, 32.60, 99156, 28, 182.14, 3.23
449, 32.60, 99156, 28, 182.14, 3.27
457, 32.60, 99156, 28, 182.14, 3.27
465, 32.60, 99156, 28, 182.14, 3.27
474, 32.60, 99156, 28, 182.14, 3.27
483, 32.60, 99156, 28, 182.14, 3.27
495, 32.60, 99156, 28, 182.14, 3.27
503, 32.60, 99156, 28, 182.14, 3.27
512, 32.60, 99156, 28, 182.14, 3.27
521, 32.60, 99156, 28, 182.14, 3.08
529, 32.60, 99155, 28, 182.22, 3.27
538, 32.60, 99155, 28, 182.22, 3.27
546, 32.60, 99155, 28, 182.22, 3.27
554, 32.60, 99155, 28, 182.22, 3.27
